_id,operator_registration_number,postal_code,ward_number,ward_name
1808878,STR-2301-JCFVHZ,M5V,10.0,Spadina-Fort York
1808879,STR-2301-FHQHHP,M6M,5.0,York South-Weston
1808880,STR-2301-FQWHHQ,M6E,9.0,Davenport
1808881,STR-2301-GGJHHS,M3H,6.0,York Centre
1808882,STR-2301-GPQHHT,M2M,18.0,Willowdale
1808883,STR-2301-HMJHHX,M5S,13.0,Toronto Centre
1808884,STR-2301-HVQHHY,M6E,8.0,Eglinton-Lawrence
1808885,STR-2301-JCWHHZ,M5V,10.0,Spadina-Fort York
1808886,STR-2301-FJFVHP,M4P,12.0,Toronto-St. Paul's
1808887,STR-2301-FYSVHR,M1C,25.0,Scarborough-Rouge Park
1808888,STR-2301-GGYVHS,M8Y,3.0,Etobicoke-Lakeshore
1808889,STR-2301-FJWHHP,M5V,10.0,Spadina-Fort York
1808890,STR-2301-FSCHHQ,M1L,20.0,Scarborough Southwest
1808891,STR-2301-GHQHHS,M4K,14.0,Toronto-Danforth
1808892,STR-2301-GQWHHT,M4B,19.0,Beaches-East York
1808893,STR-2301-HPQHHX,M5A,13.0,Toronto Centre
1808894,STR-2301-JFCHHZ,M6G,11.0,University-Rosedale
1808895,STR-2301-GYSVHV,M6K,9.0,Davenport
1808896,STR-2301-JFSVHZ,M6P,9.0,Davenport
1808897,STR-2301-GBQHHR,M5V,10.0,Spadina-Fort York
1808898,STR-2301-GSCHHT,M1E,25.0,Scarborough-Rouge Park
1808899,STR-2301-GZJHHV,M6A,8.0,Eglinton-Lawrence
1808900,STR-2301-HHQHHW,M3N,7.0,Humber River-Black Creek
1808901,STR-2301-HQWHHX,M4K,14.0,Toronto-Danforth
1808902,STR-2301-HYCHHY,M1B,25.0,Scarborough-Rouge Park
1808903,STR-2301-JGJHHZ,M1K,21.0,Scarborough Centre
1808904,STR-2301-FLSVHP,M4P,15.0,Don Valley West
1808905,STR-2301-FTYVHQ,M5M,8.0,Eglinton-Lawrence
1808906,STR-2301-GCFVHR,M6G,11.0,University-Rosedale
1808907,STR-2301-GSSVHT,M4Y,13.0,Toronto Centre
1808908,STR-2301-HJFVHW,M3J,7.0,Humber River-Black Creek
1808909,STR-2301-HYSVHY,M5B,13.0,Toronto Centre
1808910,STR-2301-FDPDVP,M5V,10.0,Spadina-Fort York
1808911,STR-2301-FLVDVQ,M3A,16.0,Don Valley East
1808912,STR-2301-GCHDVS,M6N,5.0,York South-Weston
1808913,STR-2301-GKPDVT,M6E,9.0,Davenport
1808914,STR-2301-HYVDVZ,M5V,10.0,Spadina-Fort York
1808915,STR-2301-FFDRVP,M5B,13.0,Toronto Centre
1808916,STR-2301-GCXRVS,M5M,8.0,Eglinton-Lawrence
1808917,STR-2301-GLDRVT,M6H,9.0,Davenport
1808918,STR-2301-GTKRVV,M6C,12.0,Toronto-St. Paul's
1808919,STR-2301-HBRRVW,M6G,12.0,Toronto-St. Paul's
1808920,STR-2301-HJXRVX,M5V,10.0,Spadina-Fort York
1808921,STR-2301-HSDRVY,M1C,25.0,Scarborough-Rouge Park
1808922,STR-2301-FPBDVQ,M6K,10.0,Spadina-Fort York
1808923,STR-2301-FWHDVR,M1B,25.0,Scarborough-Rouge Park
1808924,STR-2301-GDPDVS,M5A,13.0,Toronto Centre
1808925,STR-2301-GVBDVV,M1T,22.0,Scarborough-Agincourt
1808926,STR-2301-HCHDVW,M1T,22.0,Scarborough-Agincourt
1808927,STR-2301-HSVDVY,M5M,8.0,Eglinton-Lawrence
1808928,STR-2301-JBBDVZ,M2H,17.0,Don Valley North
1808929,STR-2301-FGKRVP,M4C,19.0,Beaches-East York
1808930,STR-2301-GFDRVS,M4C,19.0,Beaches-East York
