_id,operator_registration_number,postal_code,ward_number,ward_name
1810037,STR-2201-JBJXVM,M6K,10.0,Spadina-Fort York
1810038,STR-2201-GFMKVF,M5V,10.0,Spadina-Fort York
1810039,STR-2201-GMTKVG,M4Y,13.0,Toronto Centre
1810040,STR-2201-GVZKVH,M5A,13.0,Toronto Centre
1810041,STR-2201-HTTKVL,M1M,20.0,Scarborough Southwest
1810042,STR-2201-JBZKVM,M6R,4.0,Parkdale-High Park
1810043,STR-2201-FQQXVC,M6J,11.0,University-Rosedale
1810044,STR-2201-FXWXVD,M8Z,3.0,Etobicoke-Lakeshore
1810045,STR-2201-GGCXVF,M6K,10.0,Spadina-Fort York
1810046,STR-2201-GPJXVG,M4L,19.0,Beaches-East York
1810047,STR-2201-GWQXVH,M2J,17.0,Don Valley North
1810048,STR-2201-HDWXVJ,M4C,19.0,Beaches-East York
1810049,STR-2201-FHZKVB,M4J,14.0,Toronto-Danforth
1810050,STR-2201-FRGKVC,M5J,10.0,Spadina-Fort York
1810051,STR-2201-GXGKVH,M5J,10.0,Spadina-Fort York
1810052,STR-2201-HFMKVJ,M4L,14.0,Toronto-Danforth
1810053,STR-2201-HVZKVL,M5A,13.0,Toronto Centre
1810054,STR-2201-GHJXVF,M5B,13.0,Toronto Centre
1810055,STR-2201-GQQXVG,M6J,10.0,Spadina-Fort York
1810056,STR-2201-GXWXVH,M1B,23.0,Scarborough North
1810057,STR-2201-HGCXVJ,M2R,18.0,Willowdale
1810058,STR-2201-HWQXVL,M5J,10.0,Spadina-Fort York
1810059,STR-2201-JDWXVM,M5R,11.0,University-Rosedale
1810060,STR-2201-FKGKVB,M5H,10.0,Spadina-Fort York
1810061,STR-2201-GHZKVF,M6E,9.0,Davenport
1810062,STR-2201-FZTKVD,M5V,10.0,Spadina-Fort York
1810063,STR-2201-GRGKVG,M1H,24.0,Scarborough-Guildwood
1810064,STR-2201-HGTKVJ,M4Y,13.0,Toronto Centre
1810065,STR-2201-FTCXVC,M6S,4.0,Parkdale-High Park
1810066,STR-2201-HPZKVK,M8V,3.0,Etobicoke-Lakeshore
1810067,STR-2201-JFMKVM,M6R,4.0,Parkdale-High Park
1810068,STR-2201-HXGKVL,M6J,11.0,University-Rosedale
1810069,STR-2201-GJQXVF,M1P,21.0,Scarborough Centre
1810070,STR-2201-GZCXVH,M5V,10.0,Spadina-Fort York
1810071,STR-2201-HQQXVK,M5V,10.0,Spadina-Fort York
1810072,STR-2201-HXWXVL,M8W,3.0,Etobicoke-Lakeshore
1810073,STR-2201-FLMKVB,M6S,4.0,Parkdale-High Park
1810074,STR-2201-FTTKVC,M4S,12.0,Toronto-St. Paul's
1810075,STR-2201-HHZKVJ,M5A,13.0,Toronto Centre
1810076,STR-2201-HRGKVK,M5R,11.0,University-Rosedale
1810077,STR-2201-JGTKVM,M6P,4.0,Parkdale-High Park
1810078,STR-2201-FDYDVB,M6P,4.0,Parkdale-High Park
1810079,STR-2201-GCSDVF,M1E,24.0,Scarborough-Guildwood
1810080,STR-2201-GKYDVG,M5V,10.0,Spadina-Fort York
1810081,STR-2201-GTFDVH,M8W,3.0,Etobicoke-Lakeshore
1810082,STR-2201-HRYDVL,M1C,25.0,Scarborough-Rouge Park
1810083,STR-2201-FMVRVC,M3H,44.0,York Centre
1810084,STR-2201-GLPRVG,M6S,4.0,Parkdale-High Park
1810085,STR-2201-HCBRVJ,M6H,9.0,Davenport
1810086,STR-2201-HKHRVK,M5V,10.0,Spadina-Fort York
1810087,STR-2201-HSPRVL,M6S,4.0,Parkdale-High Park
1810088,STR-2201-HZVRVM,M6G,11.0,University-Rosedale
1810089,STR-2201-FGFDVB,M5J,10.0,Spadina-Fort York
1810090,STR-2201-FPLDVC,M6P,4.0,Parkdale-High Park
1810091,STR-2201-GDYDVF,M4N,15.0,Don Valley West
1810092,STR-2201-GMFDVG,M6G,11.0,University-Rosedale
1810093,STR-2201-GVLDVH,M5V,10.0,Spadina-Fort York
1810094,STR-2201-HKYDVK,M9M,7.0,Humber River-Black Creek
1810095,STR-2201-HTFDVL,M5V,10.0,Spadina-Fort York
1810096,STR-2201-JBLDVM,M6E,8.0,Eglinton-Lawrence
1810097,STR-2201-FQBRVC,M5J,10.0,Spadina-Fort York
1810098,STR-2201-GFPRVF,M5M,8.0,Eglinton-Lawrence
1810099,STR-2201-HDHRVJ,M4G,15.0,Don Valley West
1810100,STR-2201-HLPRVK,M6K,4.0,Parkdale-High Park
1810101,STR-2201-HTVRVL,M2M,18.0,Willowdale
1810102,STR-2201-JCBRVM,M5A,13.0,Toronto Centre
1810103,STR-2202-FWCXVD,M2R,6.0,York Centre
1810104,STR-2201-FQSDVC,M5V,10.0,Spadina-Fort York
1810105,STR-2201-FXYDVD,M5J,10.0,Spadina-Fort York
1810106,STR-2201-GPLDVG,M5V,10.0,Spadina-Fort York
1810107,STR-2201-GWSDVH,M5V,10.0,Spadina-Fort York
1810108,STR-2201-HDYDVJ,M5V,10.0,Spadina-Fort York
1810109,STR-2201-JCSDVM,M5V,10.0,Spadina-Fort York
1810110,STR-2201-FJBRVB,M5S,11.0,University-Rosedale
1810111,STR-2201-FRHRVC,M4L,14.0,Toronto-Danforth
1810112,STR-2201-FYPRVD,M1S,22.0,Scarborough-Agincourt
1810113,STR-2201-GGVRVF,M9C,2.0,Etobicoke Centre
1810114,STR-2201-GXHRVH,M5J,10.0,Spadina-Fort York
1810115,STR-2201-HFPRVJ,M5V,10.0,Spadina-Fort York
1810116,STR-2201-HMVRVK,M4L,19.0,Beaches-East York
1810117,STR-2201-HWBRVL,M4P,12.0,Toronto-St. Paul's
1810118,STR-2201-JDHRVM,M8V,3.0,Etobicoke-Lakeshore
1810119,STR-2201-FJSDVB,M4M,14.0,Toronto-Danforth
1810120,STR-2201-FRYDVC,M1K,20.0,Scarborough Southwest
1810121,STR-2201-FZFDVD,M2R,18.0,Willowdale
1810122,STR-2201-GHLDVF,M8V,3.0,Etobicoke-Lakeshore
1810123,STR-2201-GQSDVG,M1K,20.0,Scarborough Southwest
1810124,STR-2201-GXYDVH,M5V,10.0,Spadina-Fort York
1810125,STR-2201-HPLDVK,M5B,13.0,Toronto Centre
1810126,STR-2201-HWSDVL,M5V,10.0,Spadina-Fort York
1810127,STR-2201-FSPRVC,M1B,23.0,Scarborough North
1810128,STR-2201-GJBRVF,M5C,13.0,Toronto Centre
1810129,STR-2201-GRHRVG,M4C,19.0,Beaches-East York
1810130,STR-2202-HGVRVJ,M6H,9.0,Davenport
1810131,STR-2202-HQBRVK,M9B,2.0,Etobicoke Centre
1810132,STR-2202-FKYDVB,M5V,10.0,Spadina-Fort York
1810133,STR-2202-GRYDVG,M6E,9.0,Davenport
1810134,STR-2202-GZFDVH,M5J,10.0,Spadina-Fort York
1810135,STR-2202-HHLDVJ,M2N,18.0,Willowdale
1810136,STR-2202-HQSDVK,M1C,25.0,Scarborough-Rouge Park
1810137,STR-2202-JGFDVM,M6K,4.0,Parkdale-High Park
1810138,STR-2202-FLPRVB,M5J,10.0,Spadina-Fort York
1810139,STR-2202-FTVRVC,M6P,4.0,Parkdale-High Park
1810140,STR-2202-GCBRVD,M9R,2.0,Etobicoke Centre
1810141,STR-2202-GKHRVF,M2M,17.0,Don Valley North
1810142,STR-2202-GSPRVG,M4Y,13.0,Toronto Centre
1810143,STR-2202-GZVRVH,M5V,10.0,Spadina-Fort York
1810144,STR-2202-HJBRVJ,M6A,8.0,Eglinton-Lawrence
1810145,STR-2202-HRHRVK,M1P,21.0,Scarborough Centre
1810146,STR-2202-JGVRVM,M4L,14.0,Toronto-Danforth
1810147,STR-2202-FDZKVB,M5B,13.0,Toronto Centre
1810148,STR-2202-FMGKVC,M1M,20.0,Scarborough Southwest
1810149,STR-2202-GKZKVG,M5A,13.0,Toronto Centre
1810150,STR-2202-GTGKVH,M5A,13.0,Toronto Centre
1810151,STR-2202-HBMKVJ,M6H,9.0,Davenport
1810152,STR-2202-HZGKVM,M4E,19.0,Beaches-East York
1810153,STR-2202-FFQXVB,M5B,13.0,Toronto Centre
1810154,STR-2202-GTWXVH,M4J,14.0,Toronto-Danforth
1810155,STR-2202-HKJXVK,M5V,10.0,Spadina-Fort York
1810156,STR-2202-HZWXVM,M5V,10.0,Spadina-Fort York
1810157,STR-2202-FGGKVB,M4Y,13.0,Toronto Centre
1810158,STR-2202-FPMKVC,M1N,20.0,Scarborough Southwest
1810159,STR-2202-GDZKVF,M6J,9.0,Davenport
1810160,STR-2202-GVMKVH,M5V,10.0,Spadina-Fort York
1810161,STR-2202-HCTKVJ,M4B,19.0,Beaches-East York
1810162,STR-2202-HKZKVK,M5E,13.0,Toronto Centre
1810163,STR-2202-HTGKVL,M9B,2.0,Etobicoke Centre
1810164,STR-2202-FGWXVB,M5B,13.0,Toronto Centre
1810165,STR-2202-FQCXVC,M5R,11.0,University-Rosedale
1810166,STR-2202-GMWXVG,M4R,8.0,Eglinton-Lawrence
1810167,STR-2202-GWCXVH,M9B,2.0,Etobicoke Centre
1810168,STR-2202-HDJXVJ,M4R,8.0,Eglinton-Lawrence
1810169,STR-2202-HLQXVK,M9B,2.0,Etobicoke Centre
1810170,STR-2202-HTWXVL,M9P,1.0,Etobicoke North
1810171,STR-2202-JCCXVM,M6R,4.0,Parkdale-High Park
1810172,STR-2202-FQTKVC,M6H,9.0,Davenport
1810173,STR-2202-GPMKVG,M6H,9.0,Davenport
1810174,STR-2202-GWTKVH,M5V,10.0,Spadina-Fort York
1810175,STR-2202-HMGKVK,M5V,10.0,Spadina-Fort York
1810176,STR-2202-HVMKVL,M4L,19.0,Beaches-East York
1810177,STR-2202-JCTKVM,M4C,19.0,Beaches-East York
1810178,STR-2202-FJCXVB,M1T,22.0,Scarborough-Agincourt
1810179,STR-2202-GGWXVF,M5A,13.0,Toronto Centre
1810180,STR-2202-GQCXVG,M5S,11.0,University-Rosedale
1810181,STR-2202-HFQXVJ,M5V,10.0,Spadina-Fort York
1810182,STR-2202-HMWXVK,M5V,10.0,Spadina-Fort York
1810183,STR-2202-HWCXVL,M6H,9.0,Davenport
1810184,STR-2202-JDJXVM,M1L,20.0,Scarborough Southwest
1810185,STR-2202-GZGKVH,M9L,7.0,Humber River-Black Creek
1810186,STR-2202-FJTKVB,M1H,24.0,Scarborough-Guildwood
1810187,STR-2202-FRZKVC,M3B,15.0,Don Valley West
1810188,STR-2202-FZGKVD,M6J,9.0,Davenport
1810189,STR-2202-GHMKVF,M4J,14.0,Toronto-Danforth
1810190,STR-2202-GXZKVH,M5V,10.0,Spadina-Fort York
1810191,STR-2202-HGGKVJ,M5V,10.0,Spadina-Fort York
1810192,STR-2202-HWTKVL,M5V,10.0,Spadina-Fort York
1810193,STR-2202-JDZKVM,M6S,4.0,Parkdale-High Park
1810194,STR-2202-FKJXVB,M2R,18.0,Willowdale
1810195,STR-2202-FSQXVC,M3H,6.0,York Centre
1810196,STR-2202-GJCXVF,M8V,3.0,Etobicoke-Lakeshore
1810197,STR-2202-GRJXVG,M6J,10.0,Spadina-Fort York
1810198,STR-2202-GYQXVH,M6S,4.0,Parkdale-High Park
1810199,STR-2202-HQCXVK,M2J,17.0,Don Valley North
1810200,STR-2202-HXJXVL,M5S,11.0,University-Rosedale
1810201,STR-2202-FKZKVB,M3H,6.0,York Centre
1810202,STR-2202-FTGKVC,M5V,10.0,Spadina-Fort York
1810203,STR-2202-GBMKVD,M4P,12.0,Toronto-St. Paul’s
1810204,STR-2202-GJTKVF,M1S,23.0,Scarborough North
1810205,STR-2202-HHMKVJ,M5B,13.0,Toronto Centre
1810206,STR-2202-HQTKVK,M2N,18.0,Willowdale
1810207,STR-2202-HXZKVL,M5J,10.0,Spadina-Fort York
1810208,STR-2202-JGGKVM,M6K,4.0,Parkdale-High Park
1810209,STR-2202-GCCXVD,M1M,20.0,Scarborough Southwest
1810210,STR-2202-GSQXVG,M6J,9.0,Davenport
1810211,STR-2202-GZWXVH,M6H,9.0,Davenport
1810212,STR-2202-HJCXVJ,M4W,11.0,University-Rosedale
1810213,STR-2202-HRJXVK,M5V,10.0,Spadina-Fort York
1810214,STR-2202-JGWXVM,M4L,14.0,Toronto-Danforth
1810215,STR-2202-FFBRVB,M1J,21.0,Scarborough Centre
1810216,STR-2202-FMHRVC,M9R,2.0,Etobicoke Centre
1810217,STR-2202-FVPRVD,M5V,10.0,Spadina-Fort York
1810218,STR-2202-GCVRVF,M3C,16.0,Don Valley East
1810219,STR-2202-GLBRVG,M5V,10.0,Spadina-Fort York
1810220,STR-2202-GTHRVH,M1E,24.0,Scarborough-Guildwood
1810221,STR-2202-HBPRVJ,M5V,10.0,Spadina-Fort York
1810222,STR-2202-HJVRVK,M6P,4.0,Parkdale-High Park
1810223,STR-2202-HZHRVM,M5S,11.0,University-Rosedale
1810224,STR-2202-FFSDVB,M9C,2.0,Etobicoke Centre
1810225,STR-2202-FMYDVC,M8Y,3.0,Etobicoke-Lakeshore
1810226,STR-2202-FWFDVD,M4L,14.0,Toronto-Danforth
1810227,STR-2202-GDLDVF,M2R,6.0,York Centre
1810228,STR-2202-GTYDVH,M6K,10.0,Spadina-Fort York
1810229,STR-2202-FGHRVB,M5S,11.0,University-Rosedale
1810230,STR-2202-FWVRVD,M2M,18.0,Willowdale
1810231,STR-2202-GMHRVG,M5E,10.0,Spadina-Fort York
1810232,STR-2202-HLBRVK,M8Z,3.0,Etobicoke-Lakeshore
1810233,STR-2202-HTHRVL,M6J,10.0,Spadina-Fort York
1810234,STR-2202-JBPRVM,M5A,13.0,Toronto Centre
1810235,STR-2202-FQFDVC,M4Y,13.0,Toronto Centre
1810236,STR-2202-GMYDVG,M2N,18.0,Willowdale
1810237,STR-2202-GWFDVH,M2N,18.0,Willowdale
1810238,STR-2202-HDLDVJ,M4E,19.0,Beaches-East York
1810239,STR-2202-HTYDVL,M5R,12.0,Toronto-St. Paul's
1810240,STR-2202-FHPRVB,M5T,10.0,Spadina-Fort York
1810241,STR-2202-GGHRVF,M5V,10.0,Spadina-Fort York
1810242,STR-2202-GPPRVG,M4L,19.0,Beaches-East York
1810243,STR-2202-GWVRVH,M4P,15.0,Don Valley West
1810244,STR-2202-HFBRVJ,M9R,1.0,Etobicoke North
1810245,STR-2202-HMHRVK,M6R,4.0,Parkdale-High Park
1810246,STR-2202-HVPRVL,M2N,18.0,Willowdale
1810247,STR-2202-FJFDVB,M6K,4.0,Parkdale-High Park
1810248,STR-2202-FRLDVC,M4S,12.0,Toronto-St. Paul's
1810249,STR-2202-FYSDVD,M6H,9.0,Davenport
1810250,STR-2202-GGYDVF,M5V,10.0,Spadina-Fort York
1810251,STR-2202-GQFDVG,M5V,10.0,Spadina-Fort York
1810252,STR-2202-GXLDVH,M5S,13.0,Toronto Centre
1810253,STR-2202-HMYDVK,M5V,10.0,Spadina-Fort York
1810254,STR-2202-HWFDVL,M5J,10.0,Spadina-Fort York
1810255,STR-2202-FJVRVB,M3H,6.0,York Centre
1810256,STR-2202-FSBRVC,M4C,19.0,Beaches-East York
1810257,STR-2202-FZHRVD,M2N,18.0,Willowdale
1810258,STR-2202-GHPRVF,M1M,20.0,Scarborough Southwest
1810259,STR-2202-GQVRVG,M5A,13.0,Toronto Centre
1810260,STR-2202-GYBRVH,M6J,11.0,University-Rosedale
1810261,STR-2202-HGHRVJ,M6G,11.0,University-Rosedale
1810262,STR-2202-HPPRVK,M5J,10.0,Spadina-Fort York
1810263,STR-2202-HWVRVL,M5R,11.0,University-Rosedale
1810264,STR-2202-JFBRVM,M2N,18.0,Willowdale
1810265,STR-2202-FKLDVB,M2M,18.0,Willowdale
1810266,STR-2202-FSSDVC,M6K,4.0,Parkdale-High Park
1810267,STR-2202-FZYDVD,M6N,5.0,York South-Weston
1810268,STR-2202-GRLDVG,M5V,10.0,Spadina-Fort York
1810269,STR-2202-GYSDVH,M4Y,13.0,Toronto Centre
1810270,STR-2202-HQFDVK,M5J,10.0,Spadina-Fort York
1810271,STR-2202-HXLDVL,M9B,3.0,Etobicoke-Lakeshore
1810272,STR-2202-FLBRVB,M5M,8.0,Eglinton-Lawrence
1810273,STR-2202-FTHRVC,M5J,10.0,Spadina-Fort York
1810274,STR-2202-GBPRVD,M9W,1.0,Etobicoke North
1810275,STR-2202-GJVRVF,M6H,9.0,Davenport
1810276,STR-2202-GZHRVH,M5V,10.0,Spadina-Fort York
1810277,STR-2202-HHPRVJ,M1L,20.0,Scarborough Southwest
1810278,STR-2202-HQVRVK,M4Y,13.0,Toronto Centre
1810279,STR-2202-HYBRVL,M6P,9.0,Davenport
1810280,STR-2202-JGHRVM,M4M,14.0,Toronto-Danforth
1810281,STR-2202-FTYDVC,M4C,19.0,Beaches-East York
1810282,STR-2202-GKLDVF,M9M,7.0,Humber River-Black Creek
1810283,STR-2202-GSSDVG,M6K,10.0,Spadina-Fort York
1810284,STR-2202-GZYDVH,M1E,24.0,Scarborough-Guildwood
1810285,STR-2202-HJFDVJ,M6E,9.0,Davenport
1810286,STR-2202-HRLDVK,M4M,14.0,Toronto-Danforth
1810287,STR-2202-HYSDVL,M5V,10.0,Spadina-Fort York
1810288,STR-2202-JGYDVM,M1N,20.0,Scarborough Southwest
1810289,STR-2202-FMJXVC,M1M,20.0,Scarborough Southwest
1810290,STR-2202-FVQXVD,M4L,14.0,Toronto-Danforth
1810291,STR-2202-GCWXVF,M4R,8.0,Eglinton-Lawrence
1810292,STR-2202-GTJXVH,M4V,12.0,Toronto-St. Paul's
1810293,STR-2202-HBQXVJ,M6R,4.0,Parkdale-High Park
1810294,STR-2202-GDMKVF,M5R,11.0,University-Rosedale
1810295,STR-2202-GLTKVG,M4J,14.0,Toronto-Danforth
1810296,STR-2202-GTZKVH,M8Y,3.0,Etobicoke-Lakeshore
1810297,STR-2202-HCGKVJ,M5V,10.0,Spadina-Fort York
1810298,STR-2202-HKMKVK,M3N,7.0,Humber River-Black Creek
1810299,STR-2203-HSTKVL,M6N,5.0,York South-Weston
1810300,STR-2203-HZZKVM,M8Z,3.0,Etobicoke-Lakeshore
1810301,STR-2203-FGJXVB,M3B,16.0,Don Valley East
1810302,STR-2203-FPQXVC,M3K,6.0,York Centre
1810303,STR-2203-FWWXVD,M5B,13.0,Toronto Centre
1810304,STR-2203-GVQXVH,M5T,11.0,University-Rosedale
1810305,STR-2203-HCWXVJ,M6H,9.0,Davenport
1810306,STR-2203-HLCXVK,M4X,13.0,Toronto Centre
1810307,STR-2203-JBQXVM,M9C,2.0,Etobicoke Centre
1810308,STR-2203-FGZKVB,M6K,4.0,Parkdale-High Park
1810309,STR-2203-FQGKVC,M4S,12.0,Toronto-St. Paul's
1810310,STR-2203-FXMKVD,M4L,19.0,Beaches-East York
1810311,STR-2203-GFTKVF,M5P,12.0,Toronto-St. Paul's
1810312,STR-2203-GMZKVG,M5V,10.0,Spadina-Fort York
1810313,STR-2203-HLTKVK,M2J,17.0,Don Valley North
1810314,STR-2203-JCGKVM,M4C,19.0,Beaches-East York
1810315,STR-2203-FQWXVC,M5T,10.0,Spadina-Fort York
1810316,STR-2203-FYCXVD,M5J,10.0,Spadina-Fort York
1810317,STR-2203-GGJXVF,M4Y,13.0,Toronto Centre
1810318,STR-2203-GPQXVG,M5J,10.0,Spadina-Fort York
1810319,STR-2203-GWWXVH,M9A,2.0,Etobicoke Centre
1810320,STR-2203-HFCXVJ,M6K,10.0,Spadina-Fort York
1810321,STR-2203-HMJXVK,M5A,13.0,Toronto Centre
1810322,STR-2203-HVQXVL,M6C,12.0,Toronto-St. Paul's
1810323,STR-2203-JCWXVM,M9B,3.0,Etobicoke-Lakeshore
1810324,STR-2203-FYTKVD,M8V,3.0,Etobicoke-Lakeshore
1810325,STR-2203-GGZKVF,M5V,10.0,Spadina-Fort York
1810326,STR-2203-HFTKVJ,M9B,2.0,Etobicoke Centre
1810327,STR-2203-HMZKVK,M5V,10.0,Spadina-Fort York
1810328,STR-2203-HWGKVL,M5P,12.0,Toronto-St. Paul's
1810329,STR-2203-JDMKVM,M5J,10.0,Spadina-Fort York
1810330,STR-2203-FJWXVB,M3L,7.0,Humber River-Black Creek
1810331,STR-2203-FZJXVD,M5J,10.0,Spadina-Fort York
1810332,STR-2203-GHQXVF,M6J,10.0,Spadina-Fort York
1810333,STR-2203-GQWXVG,M5V,10.0,Spadina-Fort York
1810334,STR-2203-GYCXVH,M6H,9.0,Davenport
1810335,STR-2203-HGJXVJ,M4G,15.0,Don Valley West
1810336,STR-2203-HPQXVK,M5T,10.0,Spadina-Fort York
1810337,STR-2203-FKMKVB,M4C,19.0,Beaches-East York
1810338,STR-2203-FSTKVC,M5V,10.0,Spadina-Fort York
1810339,STR-2203-FZZKVD,M6K,10.0,Spadina-Fort York
1810340,STR-2203-GJGKVF,M2K,17.0,Don Valley North
1810341,STR-2203-GYTKVH,M5J,10.0,Spadina-Fort York
1810342,STR-2203-HGZKVJ,M6K,4.0,Parkdale-High Park
1810343,STR-2203-HQGKVK,M5V,10.0,Spadina-Fort York
1810344,STR-2203-HXMKVL,M1N,20.0,Scarborough Southwest
1810345,STR-2203-JFTKVM,M6G,12.0,Toronto-St. Paul's
1810346,STR-2203-FLCXVB,M5S,11.0,University-Rosedale
1810347,STR-2203-FTJXVC,M4L,19.0,Beaches-East York
1810348,STR-2203-GSCXVG,M5V,10.0,Spadina-Fort York
1810349,STR-2203-HHQXVJ,M6J,10.0,Spadina-Fort York
1810350,STR-2203-HQWXVK,M1S,23.0,Scarborough North
1810351,STR-2203-HYCXVL,M5V,10.0,Spadina-Fort York
1810352,STR-2203-JGJXVM,M5E,10.0,Spadina-Fort York
1810353,STR-2203-FLTKVB,M6E,9.0,Davenport
1810354,STR-2203-FTZKVC,M6H,9.0,Davenport
1810355,STR-2203-GKMKVF,M3C,16.0,Don Valley East
1810356,STR-2203-GSTKVG,M3A,16.0,Don Valley East
1810357,STR-2203-GZZKVH,M6P,4.0,Parkdale-High Park
1810358,STR-2203-HJGKVJ,M6G,11.0,University-Rosedale
1810359,STR-2203-HRMKVK,M6K,4.0,Parkdale-High Park
1810360,STR-2203-JGZKVM,M5R,12.0,Toronto-St. Paul's
1810361,STR-2203-FDPVHB,M5V,10.0,Spadina-Fort York
1810362,STR-2203-FLVVHC,M4E,19.0,Beaches-East York
1810363,STR-2203-GCHVHF,M4P,15.0,Don Valley West
1810364,STR-2203-GKPVHG,M1M,20.0,Scarborough Southwest
1810365,STR-2203-GSVVHH,M6H,9.0,Davenport
1810366,STR-2203-HBBVHJ,M6J,10.0,Spadina-Fort York
1810367,STR-2203-HJHVHK,M6G,12.0,Toronto-St. Paul's
1810368,STR-2203-HRPVHL,M6J,10.0,Spadina-Fort York
1810369,STR-2203-HYVVHM,M2K,17.0,Don Valley North
1810370,STR-2203-FFFHHB,M2J,17.0,Don Valley North
1810371,STR-2203-GCYHHF,M4A,16.0,Don Valley East
1810372,STR-2203-GLFHHG,M1V,23.0,Scarborough North
1810373,STR-2203-HJYHHK,M4P,15.0,Don Valley West
1810374,STR-2203-HSFHHL,M5V,10.0,Spadina-Fort York
1810375,STR-2203-HZLHHM,M3C,16.0,Don Valley East
1810376,STR-2203-FFVVHB,M6P,4.0,Parkdale-High Park
1810377,STR-2203-FPBVHC,M5V,10.0,Spadina-Fort York
1810378,STR-2203-FWHVHD,M5V,10.0,Spadina-Fort York
1810379,STR-2203-GDPVHF,M8V,3.0,Etobicoke-Lakeshore
1810380,STR-2203-GLVVHG,M6P,4.0,Parkdale-High Park
1810381,STR-2203-GVBVHH,M2N,18.0,Willowdale
1810382,STR-2203-HCHVHJ,M5P,12.0,Toronto-St. Paul's
1810383,STR-2203-HKPVHK,M5V,10.0,Spadina-Fort York
1810384,STR-2203-HSVVHL,M4Y,13.0,Toronto Centre
1810385,STR-2203-FPSHHC,M6J,10.0,Spadina-Fort York
1810386,STR-2203-FWYHHD,M6K,10.0,Spadina-Fort York
1810387,STR-2203-GFFHHF,M6H,9.0,Davenport
1810388,STR-2203-GMLHHG,M5V,10.0,Spadina-Fort York
1810389,STR-2203-GVSHHH,M6G,11.0,University-Rosedale
1810390,STR-2203-HCYHHJ,M2J,17.0,Don Valley North
1810391,STR-2203-HLFHHK,M3C,16.0,Don Valley East
1810392,STR-2203-HTLHHL,M5V,10.0,Spadina-Fort York
1810393,STR-2203-FHBVHB,M4J,14.0,Toronto-Danforth
1810394,STR-2203-FQHVHC,M6E,12.0,Toronto-St. Paul's
1810395,STR-2203-FLFHHB,M5T,11.0,University-Rosedale
1810396,STR-2203-FXPVHD,M5G,11.0,University-Rosedale
1810397,STR-2203-GFVVHF,M5V,10.0,Spadina-Fort York
1810398,STR-2203-GPBVHG,M5B,13.0,Toronto Centre
1810399,STR-2203-GWHVHH,M4E,19.0,Beaches-East York
1810400,STR-2203-HDPVHJ,M5S,11.0,University-Rosedale
1810401,STR-2203-HLVVHK,M6J,10.0,Spadina-Fort York
1810402,STR-2203-HVBVHL,M5B,13.0,Toronto Centre
1810403,STR-2203-JCHVHM,M1E,25.0,Scarborough-Rouge Park
1810404,STR-2203-FYFHHD,M4S,12.0,Toronto-St. Paul's
1810405,STR-2203-GGLHHF,M4L,19.0,Beaches-East York
1810406,STR-2203-GPSHHG,M5R,12.0,Toronto-St. Paul's
1810407,STR-2203-GWYHHH,M1W,22.0,Scarborough-Agincourt
1810408,STR-2203-HFFHHJ,M4Y,13.0,Toronto Centre
1810409,STR-2203-HMLHHK,M3J,7.0,Humber River-Black Creek
1810410,STR-2203-HVSHHL,M4M,14.0,Toronto-Danforth
1810411,STR-2203-JCYHHM,M5V,10.0,Spadina-Fort York
1810412,STR-2203-FJHVHB,M5V,10.0,Spadina-Fort York
1810413,STR-2203-FYVVHD,M2R,18.0,Willowdale
1810414,STR-2203-GQHVHG,M6G,11.0,University-Rosedale
1810415,STR-2203-GXPVHH,M5T,10.0,Spadina-Fort York
1810416,STR-2203-HPBVHK,M5S,11.0,University-Rosedale
1810417,STR-2203-HWHVHL,M6L,5.0,York South-Weston
1810418,STR-2203-FJYHHB,M1C,25.0,Scarborough-Rouge Park
1810419,STR-2203-FZLHHD,M5V,10.0,Spadina-Fort York
1810420,STR-2203-GHSHHF,M9W,1.0,Etobicoke North
1810421,STR-2203-GQYHHG,M4L,14.0,Toronto-Danforth
1810422,STR-2203-HGLHHJ,M5V,10.0,Spadina-Fort York
1810423,STR-2203-HWYHHL,M1P,21.0,Scarborough Centre
1810424,STR-2203-JFFHHM,M8V,3.0,Etobicoke-Lakeshore
1810425,STR-2203-FKPVHB,M6K,10.0,Spadina-Fort York
1810426,STR-2203-FSVVHC,M5E,10.0,Spadina-Fort York
1810427,STR-2203-GBBVHD,M5V,10.0,Spadina-Fort York
1810428,STR-2203-GJHVHF,M5V,10.0,Spadina-Fort York
1810429,STR-2203-HHBVHJ,M5V,10.0,Spadina-Fort York
1810430,STR-2203-HQHVHK,M6K,10.0,Spadina-Fort York
1810431,STR-2203-HXPVHL,M9C,2.0,Etobicoke Centre
1810432,STR-2203-JFVVHM,M6K,4.0,Parkdale-High Park
1810433,STR-2203-FTLHHC,M5V,10.0,Spadina-Fort York
1810434,STR-2203-GBSHHD,M1V,22.0,Scarborough-Agincourt
1810435,STR-2203-GJYHHF,M5A,13.0,Toronto Centre
1810436,STR-2203-GSFHHG,M3A,16.0,Don Valley East
1810437,STR-2203-GZLHHH,M1L,20.0,Scarborough Southwest
1810438,STR-2203-HHSHHJ,M5A,13.0,Toronto Centre
1810439,STR-2203-HYFHHL,M6R,4.0,Parkdale-High Park
1810440,STR-2203-JGLHHM,M5A,13.0,Toronto Centre
1810441,STR-2203-FDRBHB,M6R,4.0,Parkdale-High Park
1810442,STR-2203-FLXBHC,M9B,2.0,Etobicoke Centre
